,,,,,,,,,,
county,population,Deaths,County Value,Error Margin,Z-Score,AIAN,Asian,Black,Hispanic,White
Albany,"305,506","3,336","6,000","5,700-6,400",0,,"2,200","10,600","5,800","5,600"
Allegany,"46,091",637,"7,400","6,500-8,400",1,,,,,
Bronx,"1,418,207","15,102","6,700","6,600-6,900",0,,"3,500","8,500","5,500","7,900"
Broome,"190,488","2,451","7,200","6,700-7,600",1,,,"11,200","6,800","7,000"
Cattaraugus,"76,117","1,171","7,600","6,900-8,300",1,"14,000",,,,"7,600"
Cayuga,"76,576",992,"6,400","5,700-7,100",0,,,,,
Chautauqua,"126,903","1,852","7,400","6,900-8,000",1,,,"11,400","9,000","7,200"
Chemung,"83,456","1,346","8,500","7,800-9,300",2,,,"12,100",,"8,400"
Chenango,"47,207",711,"7,700","6,800-8,700",1,,,,,
Clinton,"80,485",985,"6,200","5,500-6,800",0,,,,,
Columbia,"59,461",824,"6,700","5,900-7,500",0,,,"9,700",,"6,700"
Cortland,"47,581",605,"7,100","6,200-8,000",1,,,,,
Delaware,"44,135",674,"7,200","6,200-8,200",1,,,,,
Dutchess,"294,218","3,176","5,900","5,600-6,200",0,,,"7,500","4,200","6,100"
Erie,"918,702","11,695","6,800","6,600-7,000",0,"12,300","2,500","11,900","7,500","6,000"
Essex,"36,885",521,"5,700","4,800-6,500",-1,,,,,
Franklin,"50,022",645,"6,100","5,400-6,900",0,,,,,
Fulton,"53,383",782,"6,900","6,100-7,700",0,,,,,
Genesee,"57,280",764,"7,600","6,700-8,400",1,,,,,
Greene,"47,188",716,"8,200","7,200-9,200",2,,,"9,700",,"8,500"
Hamilton,"4,416",,,,0,,,,,
Herkimer,"61,319",801,"6,300","5,600-7,000",0,,,,,
Jefferson,"109,834","1,235","7,000","6,400-7,500",1,,,"6,400","4,100","7,300"
Kings,"2,559,903","21,786","5,100","5,000-5,200",-1,,"2,800","6,900","4,900","4,000"
Lewis,"26,296",300,"7,100","5,800-8,400",1,,,,,
Livingston,"62,914",726,"6,200","5,400-7,000",0,,,,,
Madison,"70,941",714,"5,100","4,500-5,700",-1,,,,,
Monroe,"741,770","8,027","6,600","6,400-6,800",0,,"2,800","11,600","7,100","5,500"
Montgomery,"49,221",685,"7,400","6,500-8,300",1,,,,"7,600","7,600"
Nassau,"1,356,924","10,658","4,200","4,000-4,300",-2,,"2,200","6,300","3,300","4,200"
New York,"1,628,706","11,678","3,900","3,800-4,000",-2,,"2,200","8,800","4,300","2,600"
Niagara,"209,281","2,992","7,200","6,800-7,700",1,"14,800",,"13,900","6,500","6,700"
Oneida,"228,671","3,165","7,400","7,000-7,800",1,,"4,000","12,900","7,400","7,000"
Onondaga,"460,528","5,188","6,400","6,100-6,700",0,"8,900","2,000","11,600","6,700","5,600"
Ontario,"109,777","1,301","6,100","5,500-6,700",0,,,,,
Orange,"384,940","3,623","5,700","5,500-6,000",-1,,"2,300","7,300","4,100","6,100"
Orleans,"40,352",604,"7,800","6,700-8,800",1,,,,,
Oswego,"117,124","1,623","7,400","6,800-8,000",1,,,,,
Otsego,"59,493",765,"6,400","5,600-7,200",0,,,,,
Putnam,"98,320",858,"4,500","4,000-5,000",-2,,,,"3,600","4,700"
Queens,"2,253,858","17,966","4,300","4,200-4,400",-2,,"2,900","6,300","3,400","4,900"
Rensselaer,"158,714","1,947","6,500","6,000-6,900",0,,,"11,800","6,600","5,900"
Richmond,"476,143","4,877","5,500","5,300-5,800",-1,,"3,000","7,800","4,700","5,200"
Rockland,"325,789","2,399","4,400","4,100-4,600",-2,,"1,900","4,900","3,800","4,600"
Saratoga,"229,863","2,311","4,800","4,500-5,100",-2,,,"4,900",,"4,900"
Schenectady,"155,299","1,827","6,700","6,200-7,200",0,,,"10,200","6,200","6,500"
Schoharie,"30,999",412,"6,100","5,100-7,100",0,,,,,
Schuyler,"17,807",253,"6,200","4,900-7,600",0,,,,,
Seneca,"34,016",463,"7,800","6,600-9,000",1,,,,,
St. Lawrence,"107,740","1,354","6,700","6,100-7,300",0,,,,,
Steuben,"95,379","1,299","6,700","6,000-7,300",0,,,,,
Suffolk,"1,476,601","14,612","5,700","5,500-5,800",-1,,"3,000","8,200","4,100","5,800"
Sullivan,"75,432","1,083","8,000","7,200-8,700",1,,,"6,900","5,400","9,000"
Tioga,"48,203",581,"5,900","5,100-6,800",0,,,,,
Tompkins,"102,180",839,"5,200","4,600-5,700",-1,,,,,
Ulster,"177,573","2,170","6,100","5,600-6,500",0,,,"7,400","3,700","6,400"
Warren,"63,944",848,"6,700","5,900-7,500",0,,,,,
Washington,"61,204",810,"6,500","5,800-7,300",0,,,,,
Wayne,"89,918","1,194","6,900","6,200-7,500",0,,,,,
Westchester,"967,506","7,347","4,200","4,100-4,400",-2,,"2,300","6,600","3,400","4,100"
Wyoming,"39,859",470,"6,000","5,100-7,000",-0.35,,,,,
Yates,"24,913",334,"7,700","6,300-9,100",1.18,,,,,
